"year","county","municip_number","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name","feed_consumption_kg"
2006,"TROMS","1911","Kvæfjord",701.6211827,189.007727,10,"Andfjorden - Senja",6322215
2006,"TROMS","1913","Skånland",580.7459162,85.75053965,10,"Andfjorden - Senja",8432735
2006,"TROMS","1917","Ibestad",592.7193788,351.6502163,10,"Andfjorden - Senja",5193959
2006,"TROMS","1919","Gratangen",374.6671877,61.92678047,10,"Andfjorden - Senja",2644326
2006,"TROMS","1920","c(\Lavangen\, \Loabák\)",324.5644227,22.93030318,10,"Andfjorden - Senja",2935542
2006,"TROMS","1923","Salangen",521.5611242,63.59936295,10,"Andfjorden - Senja",975337
2006,"TROMS","1926","Dyrøy",469.7496123,181.2083648,10,"Andfjorden - Senja",3826335
2006,"TROMS","1927","Tranøy",938.4325924,414.5371515,10,"Andfjorden - Senja",1029233
2006,"TROMS","1928","Torsken",1076.107235,832.6831727,10,"Andfjorden - Senja",17302640
2006,"TROMS","1929","Berg",1130.553961,836.6595009,10,"Andfjorden - Senja",2343695
2006,"TROMS","1931","Lenvik",1586.547758,693.9699618,10,"Andfjorden - Senja",1600900
2006,"TROMS","1936","Karlsøy",5888.348538,4796.755739,11,"Kvaløya - Loppa",6441723
2006,"TROMS","1938","Lyngen",1299.636265,487.0741668,11,"Kvaløya - Loppa",1534379
2006,"TROMS","1940","c(\Gáivuotna\, \Kaivuono\, \Kåfjord\)",1115.396129,124.1574503,11,"Kvaløya - Loppa",2416751
2006,"TROMS","1941","Skjervøy",1561.699755,1087.998326,11,"Kvaløya - Loppa",9367090
2006,"TROMS","1942","c(\Nordreisa\, \Raisi\, \Ráisa\)",3681.281994,243.7160763,11,"Kvaløya - Loppa",6239059
2006,"TROMS","1943","Kvænangen",2682.367817,573.0012304,11,"Kvaløya - Loppa",6804103
2006,"FINNMARK","2004","Hammerfest",3227.790475,2379.511674,12,"Vest-Finnmark",1217960
2006,"FINNMARK","2012","Alta",4557.653447,708.1851191,12,"Vest-Finnmark",19458582
2006,"FINNMARK","2014","Loppa",2808.583223,2119.706465,12,"Vest-Finnmark",9962016
2006,"FINNMARK","2017","Kvalsund",2143.724658,299.4380092,12,"Vest-Finnmark",3351825
2006,"FINNMARK","2019","Nordkapp",4098.466639,3172.775971,12,"Vest-Finnmark",123468
2006,"FINNMARK","2027","c(\Nesseby\, \Unjárga\)",1637.385897,200.4975472,13,"Øst-Finnmark",130929
2006,"FINNMARK","2030","Sør-Varanger",5106.983189,1135.686092,13,"Øst-Finnmark",761459
2006,"UOPPGITT","0215","Frogn",115.37293,29.67292071,1,"Svenskegrensen - Jæren",35
2006,"ROGALAND OG AGDER","0926","Lillesand",850.7528011,660.3214617,1,"Svenskegrensen - Jæren",816000
2007,"ROGALAND OG AGDER","1004","Flekkefjord",859.7897118,315.7247669,1,"Svenskegrensen - Jæren",13335242
2007,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",1334956
2007,"ROGALAND OG AGDER","1106","Haugesund",365.6018361,292.9220733,3,"Karmøy - Sotra",3070886
2007,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",47719
2007,"ROGALAND OG AGDER","1122","Gjesdal",626.4959988,8.515393126,2,"Ryfylke",571708
2007,"ROGALAND OG AGDER","1129","Forsand",846.3640797,66.30523597,2,"Ryfylke",529284
2007,"ROGALAND OG AGDER","1133","Hjelmeland",1195.202576,106.3627705,2,"Ryfylke",8707786
2007,"ROGALAND OG AGDER","1134","Suldal",1909.018247,172.3661785,2,"Ryfylke",5964643
2007,"ROGALAND OG AGDER","1141","Finnøy",388.3073287,283.9151293,2,"Ryfylke",14449480
2007,"ROGALAND OG AGDER","1142","Rennesøy",215.3021677,149.7881054,2,"Ryfylke",2893436
2007,"ROGALAND OG AGDER","1145","Bokn",188.6204715,141.4520961,2,"Ryfylke",8092282
2007,"ROGALAND OG AGDER","1146","Tysvær",635.7009671,210.2175249,2,"Ryfylke",8234449
2007,"ROGALAND OG AGDER","1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra",2938359
2007,"ROGALAND OG AGDER","1160","Vindafjord",765.0393543,144.4528759,3,"Karmøy - Sotra",8281539
2007,"HORDALAND","1201","Bergen",570.1995911,105.4849028,3,"Karmøy - Sotra",0
2007,"HORDALAND","1211","Etne",813.6223475,78.34093032,3,"Karmøy - Sotra",10412422
2007,"HORDALAND","1216","Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra",10867538
2007,"HORDALAND","1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra",12918294
2007,"HORDALAND","1221","Stord",225.8352936,82.10288014,3,"Karmøy - Sotra",3295361
2007,"HORDALAND","1222","Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra",9682166
2007,"HORDALAND","1223","Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra",15592159
2007,"HORDALAND","1224","Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra",27001881
2007,"HORDALAND","1227","Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra",6199374
2007,"HORDALAND","1238","Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra",12647637
2007,"HORDALAND","1241","Fusa",507.0776654,129.2463033,3,"Karmøy - Sotra",13245699
2007,"HORDALAND","1242","Samnanger",290.0844722,21.0179771,3,"Karmøy - Sotra",1403207
2007,"HORDALAND","1243","Os",245.5334546,105.9583688,3,"Karmøy - Sotra",4049212
2007,"HORDALAND","1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra",20591620
2007,"HORDALAND","1245","Sund",564.9350737,465.3951173,3,"Karmøy - Sotra",4142757
2007,"HORDALAND","1246","Fjell",768.9276823,620.7603078,3,"Karmøy - Sotra",4350703
2007,"HORDALAND","1247","Askøy",219.6391485,118.5156823,4,"Sotra - Stadt",2821396
2007,"HORDALAND","1253","Osterøy",311.6455974,56.5278112,4,"Sotra - Stadt",21107700
2007,"HORDALAND","1256","Meland",130.5215556,37.93871393,4,"Sotra - Stadt",1540611
2007,"HORDALAND","1259","Øygarden",985.9432893,919.148288,4,"Sotra - Stadt",8519601
2007,"HORDALAND","1260","Radøy",209.7977221,98.34900146,4,"Sotra - Stadt",5288798
2007,"HORDALAND","1263","Lindås",637.0389369,162.042687,4,"Sotra - Stadt",5579582
2007,"HORDALAND","1264","Austrheim",161.9491533,104.393437,4,"Sotra - Stadt",451992
2007,"HORDALAND","1266","Masfjorden",641.7115291,85.64212657,4,"Sotra - Stadt",1726285
2007,"SOGN OG FJORDANE","1401","Flora",2140.216593,1447.185281,4,"Sotra - Stadt",6954882
2007,"SOGN OG FJORDANE","1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt",19715751
2007,"SOGN OG FJORDANE","1412","Solund",1747.705205,1519.458615,4,"Sotra - Stadt",10960713
2007,"SOGN OG FJORDANE","1413","Hyllestad",384.2061598,125.3011533,4,"Sotra - Stadt",11805603
2007,"SOGN OG FJORDANE","1416","Høyanger",1117.215544,209.0251517,4,"Sotra - Stadt",3616415
2007,"SOGN OG FJORDANE","1428","Askvoll",1588.603941,1262.43025,4,"Sotra - Stadt",8785969
2007,"SOGN OG FJORDANE","1429","Fjaler",488.1563815,71.53865419,4,"Sotra - Stadt",7981895
2007,"SOGN OG FJORDANE","1438","Bremanger",1931.69721,1098.600948,4,"Sotra - Stadt",10995780
2007,"SOGN OG FJORDANE","1439","Vågsøy",820.8877962,644.1892052,4,"Sotra - Stadt",6731491
2007,"SOGN OG FJORDANE","1441","Selje",1041.307731,815.1905357,4,"Sotra - Stadt",4980839
2007,"MØRE OG ROMSDAL","1502","Molde",585.0810002,222.447664,5,"Stad - Hustadvika",152500
2007,"MØRE OG ROMSDAL","1505","Kristiansund",669.4597917,582.0243919,6,"Nordmøre - Sør-Trøndelag",3164500
2007,"MØRE OG ROMSDAL","1502","Molde",585.0810002,222.447664,5,"Stad - Hustadvika",3619264
2007,"MØRE OG ROMSDAL","1529","Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika",1105566
2007,"MØRE OG ROMSDAL","1511","Vanylven",483.5926223,98.374729,5,"Stad - Hustadvika",2815653
2007,"MØRE OG ROMSDAL","1514","Sande",458.0518878,364.8451659,5,"Stad - Hustadvika",1324070
2007,"MØRE OG ROMSDAL","1515","Herøy",1193.288082,1073.763572,5,"Stad - Hustadvika",2181832
2007,"MØRE OG ROMSDAL","1519","Volda",656.4932671,109.2593826,5,"Stad - Hustadvika",2166626
2007,"MØRE OG ROMSDAL","1520","Ørsta",943.5737474,139.138279,5,"Stad - Hustadvika",2602103
2007,"MØRE OG ROMSDAL","1525","Stranda",944.3724368,78.50341444,5,"Stad - Hustadvika",10546500
2007,"MØRE OG ROMSDAL","1529","Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika",146735
2007,"MØRE OG ROMSDAL","1532","Giske",907.7717564,867.2287433,5,"Stad - Hustadvika",2373599
2007,"MØRE OG ROMSDAL","1534","Haram",1063.325832,802.1936015,5,"Stad - Hustadvika",21160
2007,"MØRE OG ROMSDAL","1535","Vestnes",466.4075422,114.7066027,5,"Stad - Hustadvika",2741969
2007,"MØRE OG ROMSDAL","1539","Rauma",1635.105545,132.9582198,5,"Stad - Hustadvika",339500
2007,"MØRE OG ROMSDAL","1543","Nesset",1131.560319,85.48888667,5,"Stad - Hustadvika",1181400
2007,"MØRE OG ROMSDAL","1545","Midsund",275.1037587,180.4542533,5,"Stad - Hustadvika",1172000
2007,"MØRE OG ROMSDAL","1547","Aukra",461.7591187,402.6819283,5,"Stad - Hustadvika",2362225
2007,"MØRE OG ROMSDAL","1548","Fræna",1123.537617,753.7385211,5,"Stad - Hustadvika",2443787
2007,"MØRE OG ROMSDAL","1551","Eide",445.1395783,293.0397792,6,"Nordmøre - Sør-Trøndelag",1623790
2007,"MØRE OG ROMSDAL","1554","Averøy",718.5878787,542.9088935,6,"Nordmøre - Sør-Trøndelag",223761
2007,"MØRE OG ROMSDAL","1557","Gjemnes",470.6056636,88.97445949,6,"Nordmøre - Sør-Trøndelag",2423250
2007,"MØRE OG ROMSDAL","1560","Tingvoll",504.8050354,167.995332,6,"Nordmøre - Sør-Trøndelag",764830
2007,"MØRE OG ROMSDAL","1563","Sunndal",1799.591061,86.22058664,6,"Nordmøre - Sør-Trøndelag",3265
2007,"MØRE OG ROMSDAL","1571","Halsa",383.3083884,82.7797689,6,"Nordmøre - Sør-Trøndelag",903670
2007,"MØRE OG ROMSDAL","1573","Smøla",2154.4903,1882.580854,6,"Nordmøre - Sør-Trøndelag",7942154
2007,"MØRE OG ROMSDAL","1576","Aure",1048.31036,406.9303226,6,"Nordmøre - Sør-Trøndelag",347361
2007,"MØRE OG ROMSDAL","1519","Volda",656.4932671,109.2593826,5,"Stad - Hustadvika",3287310
2007,"MØRE OG ROMSDAL","1524","Norddal",986.6701771,43.15651477,5,"Stad - Hustadvika",3825500
2007,"NORDLAND","1804","Bodø",4826.69546,3431.421782,9,"Vestfjorden - Vesterålen",185000
2007,"NORDLAND","1850","c(\Tysfjord\, \Divtasvuodna\)",1929.019449,465.2612621,9,"Vestfjorden - Vesterålen",694003
2007,"NORDLAND","1811","Bindal",1905.535218,641.2837483,7,"Nord-Trøndelag - Bindal",4797859
2007,"NORDLAND","1812","Sømna",790.0974216,594.8391077,8,"Helgeland - Bodø",3415278
2007,"NORDLAND","1813","Brønnøy",2099.156683,1052.809515,8,"Helgeland - Bodø",4774341
2007,"NORDLAND","1815","Vega",2921.376588,2756.590844,8,"Helgeland - Bodø",1179000
2007,"NORDLAND","1816","Vevelstad",661.1474773,122.0988447,8,"Helgeland - Bodø",6804301
2007,"NORDLAND","1818","Herøy",2262.099657,2197.637411,8,"Helgeland - Bodø",3981401
2007,"NORDLAND","1820","Alstahaug",585.2205361,397.1046147,8,"Helgeland - Bodø",4419500
2007,"NORDLAND","1824","Vefsn",2030.300385,100.8914234,8,"Helgeland - Bodø",1528000
2007,"NORDLAND","1827","Dønna",759.3091081,567.3688444,8,"Helgeland - Bodø",4907730
2007,"NORDLAND","1828","Nesna",402.8211117,219.6396197,8,"Helgeland - Bodø",1505050
2007,"NORDLAND","1833","Rana",4588.20917,128.0210568,8,"Helgeland - Bodø",3528000
2007,"NORDLAND","1834","Lurøy",1337.693384,1072.508261,8,"Helgeland - Bodø",14395368
2007,"NORDLAND","1835","Træna",1793.812792,1777.298315,8,"Helgeland - Bodø",2171500
2007,"NORDLAND","1836","Rødøy",3103.057128,2391.768309,8,"Helgeland - Bodø",10318964
2007,"NORDLAND","1837","Meløy",2746.283777,1872.455608,8,"Helgeland - Bodø",8985269
2007,"NORDLAND","1838","Gildeskål",1502.253204,837.5510572,8,"Helgeland - Bodø",10050933
2007,"NORDLAND","1840","Saltdal",2245.948768,29.75933009,8,"Helgeland - Bodø",2621644
2007,"NORDLAND","1841","c(\Fauske\, \Fuossko\)",1293.965081,96.99544864,8,"Helgeland - Bodø",676000
2007,"NORDLAND","1845","Sørfold",1829.725893,192.322705,9,"Vestfjorden - Vesterålen",6888438
2007,"NORDLAND","1848","Steigen",3484.477675,2475.231549,9,"Vestfjorden - Vesterålen",11847630
2007,"NORDLAND","1849","c(\Hamarøy\, \Hábmer\)",1562.514447,528.9225273,9,"Vestfjorden - Vesterålen",5308894
2007,"NORDLAND","1850","c(\Tysfjord\, \Divtasvuodna\)",1929.019449,465.2612621,9,"Vestfjorden - Vesterålen",2038314
2007,"NORDLAND","1851","Lødingen",1043.931094,516.5166935,9,"Vestfjorden - Vesterålen",4112353
2007,"NORDLAND","1852","Tjeldsund",444.826713,125.4910974,9,"Vestfjorden - Vesterålen",1130805
2007,"NORDLAND","1854","Ballangen",1193.130637,260.9146791,9,"Vestfjorden - Vesterålen",229127
2007,"NORDLAND","1859","Flakstad",1172.39812,994.0116752,9,"Vestfjorden - Vesterålen",2983525
2007,"NORDLAND","1860","Vestvågøy",2109.641746,1685.080756,9,"Vestfjorden - Vesterålen",4062800
2007,"NORDLAND","1865","Vågan",2087.475486,1608.301755,9,"Vestfjorden - Vesterålen",6805943
2007,"NORDLAND","1866","Hadsel",1184.413105,617.8636024,9,"Vestfjorden - Vesterålen",12113287
2007,"NORDLAND","1867","Bø",1825.744963,1579.045433,9,"Vestfjorden - Vesterålen",3527504
2007,"NORDLAND","1868","Øksnes",1815.174302,1495.658041,9,"Vestfjorden - Vesterålen",10054211
2007,"NORDLAND","1870","c(\Sortland\, \Suortá\)",1093.027537,371.1023103,9,"Vestfjorden - Vesterålen",4096920
2007,"TROMS","1902","Tromsø",5287.925885,2766.720443,11,"Kvaløya - Loppa",8165682
2007,"TROMS","1903","c(\Harstad\, \Hárstták\)",1520.380415,1075.169085,10,"Andfjorden - Senja",4389752
2007,"TROMS","1911","Kvæfjord",701.6211827,189.007727,10,"Andfjorden - Senja",7684624
2007,"TROMS","1913","Skånland",580.7459162,85.75053965,10,"Andfjorden - Senja",3685514
2007,"TROMS","1917","Ibestad",592.7193788,351.6502163,10,"Andfjorden - Senja",2054797
2007,"TROMS","1919","Gratangen",374.6671877,61.92678047,10,"Andfjorden - Senja",5800152
2007,"TROMS","1920","c(\Lavangen\, \Loabák\)",324.5644227,22.93030318,10,"Andfjorden - Senja",1052201
2007,"TROMS","1923","Salangen",521.5611242,63.59936295,10,"Andfjorden - Senja",1625758
2007,"TROMS","1926","Dyrøy",469.7496123,181.2083648,10,"Andfjorden - Senja",10200494
2007,"TROMS","1927","Tranøy",938.4325924,414.5371515,10,"Andfjorden - Senja",9798854
2007,"TROMS","1928","Torsken",1076.107235,832.6831727,10,"Andfjorden - Senja",9407665
2007,"TROMS","1929","Berg",1130.553961,836.6595009,10,"Andfjorden - Senja",2169180
2007,"TROMS","1931","Lenvik",1586.547758,693.9699618,10,"Andfjorden - Senja",1415500
2007,"TROMS","1936","Karlsøy",5888.348538,4796.755739,11,"Kvaløya - Loppa",5229919
2007,"TROMS","1938","Lyngen",1299.636265,487.0741668,11,"Kvaløya - Loppa",5372027
2007,"TROMS","1940","c(\Gáivuotna\, \Kaivuono\, \Kåfjord\)",1115.396129,124.1574503,11,"Kvaløya - Loppa",5577533
2007,"TROMS","1941","Skjervøy",1561.699755,1087.998326,11,"Kvaløya - Loppa",5899888
2007,"TROMS","1942","c(\Nordreisa\, \Raisi\, \Ráisa\)",3681.281994,243.7160763,11,"Kvaløya - Loppa",5793586
2007,"TROMS","1943","Kvænangen",2682.367817,573.0012304,11,"Kvaløya - Loppa",6679453
2007,"FINNMARK","2004","Hammerfest",3227.790475,2379.511674,12,"Vest-Finnmark",8145615
2007,"FINNMARK","2012","Alta",4557.653447,708.1851191,12,"Vest-Finnmark",18518323
2007,"FINNMARK","2014","Loppa",2808.583223,2119.706465,12,"Vest-Finnmark",9113491
2007,"FINNMARK","2017","Kvalsund",2143.724658,299.4380092,12,"Vest-Finnmark",1063448
2007,"FINNMARK","2019","Nordkapp",4098.466639,3172.775971,12,"Vest-Finnmark",1146273
2007,"FINNMARK","2027","c(\Nesseby\, \Unjárga\)",1637.385897,200.4975472,13,"Øst-Finnmark",93519
2007,"FINNMARK","2030","Sør-Varanger",5106.983189,1135.686092,13,"Øst-Finnmark",2228741
2007,"ROGALAND OG AGDER","0926","Lillesand",850.7528011,660.3214617,1,"Svenskegrensen - Jæren",373180
2008,"ROGALAND OG AGDER","1004","Flekkefjord",859.7897118,315.7247669,1,"Svenskegrensen - Jæren",13476296
2008,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",1790980
2008,"ROGALAND OG AGDER","1106","Haugesund",365.6018361,292.9220733,3,"Karmøy - Sotra",2526524
2008,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",25372
2008,"ROGALAND OG AGDER","1122","Gjesdal",626.4959988,8.515393126,2,"Ryfylke",504150
2008,"ROGALAND OG AGDER","1129","Forsand",846.3640797,66.30523597,2,"Ryfylke",297331
2008,"ROGALAND OG AGDER","1133","Hjelmeland",1195.202576,106.3627705,2,"Ryfylke",8063461
2008,"ROGALAND OG AGDER","1134","Suldal",1909.018247,172.3661785,2,"Ryfylke",3886473
2008,"ROGALAND OG AGDER","1141","Finnøy",388.3073287,283.9151293,2,"Ryfylke",19194176
2008,"ROGALAND OG AGDER","1142","Rennesøy",215.3021677,149.7881054,2,"Ryfylke",4950972
2008,"ROGALAND OG AGDER","1144","Kvitsøy",362.4412368,356.1550285,2,"Ryfylke",441595
2008,"ROGALAND OG AGDER","1145","Bokn",188.6204715,141.4520961,2,"Ryfylke",4049529
2008,"ROGALAND OG AGDER","1146","Tysvær",635.7009671,210.2175249,2,"Ryfylke",6668779
2008,"ROGALAND OG AGDER","1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra",1136465
2008,"ROGALAND OG AGDER","1160","Vindafjord",765.0393543,144.4528759,3,"Karmøy - Sotra",9601071
2008,"HORDALAND","1201","Bergen",570.1995911,105.4849028,3,"Karmøy - Sotra",0
2008,"HORDALAND","1211","Etne",813.6223475,78.34093032,3,"Karmøy - Sotra",4078224
2008,"HORDALAND","1216","Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra",12399922
2008,"HORDALAND","1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra",14251592
2008,"HORDALAND","1221","Stord",225.8352936,82.10288014,3,"Karmøy - Sotra",842349
2008,"HORDALAND","1222","Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra",10619562
2008,"HORDALAND","1223","Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra",22190370
2008,"HORDALAND","1224","Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra",23510622
2008,"HORDALAND","1227","Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra",12229823
2008,"HORDALAND","1238","Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra",10348806
2008,"HORDALAND","1241","Fusa",507.0776654,129.2463033,3,"Karmøy - Sotra",16436556
2008,"HORDALAND","1242","Samnanger",290.0844722,21.0179771,3,"Karmøy - Sotra",1728426
2008,"HORDALAND","1243","Os",245.5334546,105.9583688,3,"Karmøy - Sotra",4488305
2008,"HORDALAND","1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra",19821259
2008,"HORDALAND","1245","Sund",564.9350737,465.3951173,3,"Karmøy - Sotra",10552547
2008,"HORDALAND","1246","Fjell",768.9276823,620.7603078,3,"Karmøy - Sotra",5190920
2008,"HORDALAND","1247","Askøy",219.6391485,118.5156823,4,"Sotra - Stadt",6376087
2008,"HORDALAND","1253","Osterøy",311.6455974,56.5278112,4,"Sotra - Stadt",19542870
2008,"HORDALAND","1256","Meland",130.5215556,37.93871393,4,"Sotra - Stadt",1899070
2008,"HORDALAND","1259","Øygarden",985.9432893,919.148288,4,"Sotra - Stadt",8236174
2008,"HORDALAND","1260","Radøy",209.7977221,98.34900146,4,"Sotra - Stadt",8955550
2008,"HORDALAND","1263","Lindås",637.0389369,162.042687,4,"Sotra - Stadt",5795814
2008,"HORDALAND","1264","Austrheim",161.9491533,104.393437,4,"Sotra - Stadt",761738
2008,"HORDALAND","1266","Masfjorden",641.7115291,85.64212657,4,"Sotra - Stadt",222000
2008,"SOGN OG FJORDANE","1401","Flora",2140.216593,1447.185281,4,"Sotra - Stadt",9789503
2008,"SOGN OG FJORDANE","1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt",20994315
2008,"SOGN OG FJORDANE","1412","Solund",1747.705205,1519.458615,4,"Sotra - Stadt",10013997
2008,"SOGN OG FJORDANE","1413","Hyllestad",384.2061598,125.3011533,4,"Sotra - Stadt",11949981
2008,"SOGN OG FJORDANE","1416","Høyanger",1117.215544,209.0251517,4,"Sotra - Stadt",5173228
2008,"SOGN OG FJORDANE","1428","Askvoll",1588.603941,1262.43025,4,"Sotra - Stadt",11081209
2008,"SOGN OG FJORDANE","1429","Fjaler",488.1563815,71.53865419,4,"Sotra - Stadt",6442173
2008,"SOGN OG FJORDANE","1438","Bremanger",1931.69721,1098.600948,4,"Sotra - Stadt",6169499
2008,"SOGN OG FJORDANE","1439","Vågsøy",820.8877962,644.1892052,4,"Sotra - Stadt",9713053
2008,"SOGN OG FJORDANE","1441","Selje",1041.307731,815.1905357,4,"Sotra - Stadt",4864383
2008,"MØRE OG ROMSDAL","1502","Molde",585.0810002,222.447664,5,"Stad - Hustadvika",2696870
2008,"MØRE OG ROMSDAL","1505","Kristiansund",669.4597917,582.0243919,6,"Nordmøre - Sør-Trøndelag",4621695
2008,"MØRE OG ROMSDAL","1502","Molde",585.0810002,222.447664,5,"Stad - Hustadvika",1898092
2008,"MØRE OG ROMSDAL","1529","Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika",3738405
2008,"MØRE OG ROMSDAL","1511","Vanylven",483.5926223,98.374729,5,"Stad - Hustadvika",7315473
2008,"MØRE OG ROMSDAL","1514","Sande",458.0518878,364.8451659,5,"Stad - Hustadvika",3786487
2008,"MØRE OG ROMSDAL","1515","Herøy",1193.288082,1073.763572,5,"Stad - Hustadvika",258695
2008,"MØRE OG ROMSDAL","1519","Volda",656.4932671,109.2593826,5,"Stad - Hustadvika",3857650
2008,"MØRE OG ROMSDAL","1520","Ørsta",943.5737474,139.138279,5,"Stad - Hustadvika",7500343
2008,"MØRE OG ROMSDAL","1524","Norddal",986.6701771,43.15651477,5,"Stad - Hustadvika",2004850
2008,"MØRE OG ROMSDAL","1525","Stranda",944.3724368,78.50341444,5,"Stad - Hustadvika",1675004
2008,"MØRE OG ROMSDAL","1528","Sykkylven",400.5986337,62.80058497,5,"Stad - Hustadvika",51500
2008,"MØRE OG ROMSDAL","1529","Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika",958041
2008,"MØRE OG ROMSDAL","1532","Giske",907.7717564,867.2287433,5,"Stad - Hustadvika",5938231
2008,"MØRE OG ROMSDAL","1535","Vestnes",466.4075422,114.7066027,5,"Stad - Hustadvika",1875508
2008,"MØRE OG ROMSDAL","1539","Rauma",1635.105545,132.9582198,5,"Stad - Hustadvika",5376557
2008,"MØRE OG ROMSDAL","1543","Nesset",1131.560319,85.48888667,5,"Stad - Hustadvika",2251600
2008,"MØRE OG ROMSDAL","1545","Midsund",275.1037587,180.4542533,5,"Stad - Hustadvika",1088350
2008,"MØRE OG ROMSDAL","1547","Aukra",461.7591187,402.6819283,5,"Stad - Hustadvika",4462103
2008,"MØRE OG ROMSDAL","1548","Fræna",1123.537617,753.7385211,5,"Stad - Hustadvika",1323069
2008,"MØRE OG ROMSDAL","1551","Eide",445.1395783,293.0397792,6,"Nordmøre - Sør-Trøndelag",1881497
