"year","county","municip_number","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name","died_fish_count"
2015,"MØRE OG ROMSDAL","1502","Molde",585.0810002,222.447664,5,"Stad - Hustadvika",32398
2015,"MØRE OG ROMSDAL","1505","Kristiansund",669.4597917,582.0243919,6,"Nordmøre - Sør-Trøndelag",258306
2015,"MØRE OG ROMSDAL","1511","Vanylven",483.5926223,98.374729,5,"Stad - Hustadvika",148340
2015,"MØRE OG ROMSDAL","1515","Herøy",1193.288082,1073.763572,5,"Stad - Hustadvika",184003
2015,"MØRE OG ROMSDAL","1519","Volda",656.4932671,109.2593826,5,"Stad - Hustadvika",194920
2015,"MØRE OG ROMSDAL","1520","Ørsta",943.5737474,139.138279,5,"Stad - Hustadvika",68779
2015,"MØRE OG ROMSDAL","1524","Norddal",986.6701771,43.15651477,5,"Stad - Hustadvika",15340
2015,"MØRE OG ROMSDAL","1525","Stranda",944.3724368,78.50341444,5,"Stad - Hustadvika",117650
2015,"MØRE OG ROMSDAL","1529","Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika",5981
2015,"MØRE OG ROMSDAL","1532","Giske",907.7717564,867.2287433,5,"Stad - Hustadvika",26330
2015,"MØRE OG ROMSDAL","1534","Haram",1063.325832,802.1936015,5,"Stad - Hustadvika",89830
2015,"MØRE OG ROMSDAL","1535","Vestnes",466.4075422,114.7066027,5,"Stad - Hustadvika",258428
2015,"MØRE OG ROMSDAL","1539","Rauma",1635.105545,132.9582198,5,"Stad - Hustadvika",115399
2015,"MØRE OG ROMSDAL","1543","Nesset",1131.560319,85.48888667,5,"Stad - Hustadvika",31205
2015,"MØRE OG ROMSDAL","1545","Midsund",275.1037587,180.4542533,5,"Stad - Hustadvika",353811
2015,"MØRE OG ROMSDAL","1546","Sandøy",1007.145171,985.7137032,5,"Stad - Hustadvika",50742
2015,"MØRE OG ROMSDAL","1547","Aukra",461.7591187,402.6819283,5,"Stad - Hustadvika",91409
2015,"MØRE OG ROMSDAL","1548","Fræna",1123.537617,753.7385211,5,"Stad - Hustadvika",48837
2015,"MØRE OG ROMSDAL","1551","Eide",445.1395783,293.0397792,6,"Nordmøre - Sør-Trøndelag",12591
2015,"MØRE OG ROMSDAL","1554","Averøy",718.5878787,542.9088935,6,"Nordmøre - Sør-Trøndelag",461556
2015,"MØRE OG ROMSDAL","1557","Gjemnes",470.6056636,88.97445949,6,"Nordmøre - Sør-Trøndelag",159397
2015,"MØRE OG ROMSDAL","1560","Tingvoll",504.8050354,167.995332,6,"Nordmøre - Sør-Trøndelag",135341
2015,"MØRE OG ROMSDAL","1563","Sunndal",1799.591061,86.22058664,6,"Nordmøre - Sør-Trøndelag",4856
2015,"MØRE OG ROMSDAL","1566","Surnadal",1453.246482,87.19487793,6,"Nordmøre - Sør-Trøndelag",1635
2015,"MØRE OG ROMSDAL","1571","Halsa",383.3083884,82.7797689,6,"Nordmøre - Sør-Trøndelag",122463
2015,"MØRE OG ROMSDAL","1573","Smøla",2154.4903,1882.580854,6,"Nordmøre - Sør-Trøndelag",407346
2015,"MØRE OG ROMSDAL","1576","Aure",1048.31036,406.9303226,6,"Nordmøre - Sør-Trøndelag",249189
2015,"NORDLAND","1804","Bodø",4826.69546,3431.421782,9,"Vestfjorden - Vesterålen",55396
2015,"NORDLAND","1805","Narvik",2223.616141,200.5690576,9,"Vestfjorden - Vesterålen",43263
2015,"NORDLAND","1850","c(\Tysfjord\, \Divtasvuodna\)",1929.019449,465.2612621,9,"Vestfjorden - Vesterålen",53343
2015,"NORDLAND","1811","Bindal",1905.535218,641.2837483,7,"Nord-Trøndelag - Bindal",98113
2015,"NORDLAND","1813","Brønnøy",2099.156683,1052.809515,8,"Helgeland - Bodø",227514
2015,"NORDLAND","1815","Vega",2921.376588,2756.590844,8,"Helgeland - Bodø",113136
2015,"NORDLAND","1816","Vevelstad",661.1474773,122.0988447,8,"Helgeland - Bodø",87010
2015,"NORDLAND","1818","Herøy",2262.099657,2197.637411,8,"Helgeland - Bodø",113283
2015,"NORDLAND","1820","Alstahaug",585.2205361,397.1046147,8,"Helgeland - Bodø",150610
2015,"NORDLAND","1822","Leirfjord",596.1696545,130.9239221,8,"Helgeland - Bodø",22632
2015,"NORDLAND","1824","Vefsn",2030.300385,100.8914234,8,"Helgeland - Bodø",99595
2015,"NORDLAND","1827","Dønna",759.3091081,567.3688444,8,"Helgeland - Bodø",285060
2015,"NORDLAND","1828","Nesna",402.8211117,219.6396197,8,"Helgeland - Bodø",15304
2015,"NORDLAND","1833","Rana",4588.20917,128.0210568,8,"Helgeland - Bodø",70184
2015,"NORDLAND","1834","Lurøy",1337.693384,1072.508261,8,"Helgeland - Bodø",252995
2015,"NORDLAND","1835","Træna",1793.812792,1777.298315,8,"Helgeland - Bodø",15395
2015,"NORDLAND","1836","Rødøy",3103.057128,2391.768309,8,"Helgeland - Bodø",428030
2015,"NORDLAND","1837","Meløy",2746.283777,1872.455608,8,"Helgeland - Bodø",110108
2015,"NORDLAND","1838","Gildeskål",1502.253204,837.5510572,8,"Helgeland - Bodø",246024
2015,"NORDLAND","1840","Saltdal",2245.948768,29.75933009,8,"Helgeland - Bodø",4933
2015,"NORDLAND","1841","c(\Fauske\, \Fuossko\)",1293.965081,96.99544864,8,"Helgeland - Bodø",21082
2015,"NORDLAND","1845","Sørfold",1829.725893,192.322705,9,"Vestfjorden - Vesterålen",443603
2015,"NORDLAND","1848","Steigen",3484.477675,2475.231549,9,"Vestfjorden - Vesterålen",270861
2015,"NORDLAND","1849","c(\Hamarøy\, \Hábmer\)",1562.514447,528.9225273,9,"Vestfjorden - Vesterålen",79990
2015,"NORDLAND","1850","c(\Tysfjord\, \Divtasvuodna\)",1929.019449,465.2612621,9,"Vestfjorden - Vesterålen",375700
2015,"NORDLAND","1851","Lødingen",1043.931094,516.5166935,9,"Vestfjorden - Vesterålen",102691
2015,"NORDLAND","1853","Evenes",390.3352448,137.5565233,9,"Vestfjorden - Vesterålen",22928
2015,"NORDLAND","1854","Ballangen",1193.130637,260.9146791,9,"Vestfjorden - Vesterålen",44685
2015,"NORDLAND","1860","Vestvågøy",2109.641746,1685.080756,9,"Vestfjorden - Vesterålen",8218
2015,"NORDLAND","1865","Vågan",2087.475486,1608.301755,9,"Vestfjorden - Vesterålen",336917
2015,"NORDLAND","1866","Hadsel",1184.413105,617.8636024,9,"Vestfjorden - Vesterålen",1795280
2015,"NORDLAND","1867","Bø",1825.744963,1579.045433,9,"Vestfjorden - Vesterålen",176543
2015,"NORDLAND","1868","Øksnes",1815.174302,1495.658041,9,"Vestfjorden - Vesterålen",719313
2015,"NORDLAND","1870","c(\Sortland\, \Suortá\)",1093.027537,371.1023103,9,"Vestfjorden - Vesterålen",138122
2015,"NORDLAND","1874","Moskenes",1592.361178,1473.572737,9,"Vestfjorden - Vesterålen",23927
2015,"TROMS","1902","Tromsø",5287.925885,2766.720443,11,"Kvaløya - Loppa",278697
2015,"TROMS","1903","c(\Harstad\, \Hárstták\)",1520.380415,1075.169085,10,"Andfjorden - Senja",399187
2015,"TROMS","1911","Kvæfjord",701.6211827,189.007727,10,"Andfjorden - Senja",239318
2015,"TROMS","1913","Skånland",580.7459162,85.75053965,10,"Andfjorden - Senja",173978
2015,"TROMS","1917","Ibestad",592.7193788,351.6502163,10,"Andfjorden - Senja",363166
2015,"TROMS","1919","Gratangen",374.6671877,61.92678047,10,"Andfjorden - Senja",11918
2015,"TROMS","1920","c(\Lavangen\, \Loabák\)",324.5644227,22.93030318,10,"Andfjorden - Senja",14874
2015,"TROMS","1923","Salangen",521.5611242,63.59936295,10,"Andfjorden - Senja",36457
2015,"TROMS","1926","Dyrøy",469.7496123,181.2083648,10,"Andfjorden - Senja",123178
2015,"TROMS","1927","Tranøy",938.4325924,414.5371515,10,"Andfjorden - Senja",291938
2015,"TROMS","1928","Torsken",1076.107235,832.6831727,10,"Andfjorden - Senja",253862
2015,"TROMS","1929","Berg",1130.553961,836.6595009,10,"Andfjorden - Senja",340323
2015,"TROMS","1931","Lenvik",1586.547758,693.9699618,10,"Andfjorden - Senja",306299
2015,"TROMS","1936","Karlsøy",5888.348538,4796.755739,11,"Kvaløya - Loppa",560090
2015,"TROMS","1938","Lyngen",1299.636265,487.0741668,11,"Kvaløya - Loppa",13132
2015,"TROMS","1940","c(\Gáivuotna\, \Kaivuono\, \Kåfjord\)",1115.396129,124.1574503,11,"Kvaløya - Loppa",64650
2015,"TROMS","1941","Skjervøy",1561.699755,1087.998326,11,"Kvaløya - Loppa",508344
2015,"TROMS","1942","c(\Nordreisa\, \Raisi\, \Ráisa\)",3681.281994,243.7160763,11,"Kvaløya - Loppa",155323
2015,"TROMS","1943","Kvænangen",2682.367817,573.0012304,11,"Kvaløya - Loppa",203579
2015,"FINNMARK","2004","Hammerfest",3227.790475,2379.511674,12,"Vest-Finnmark",391588
2015,"FINNMARK","2012","Alta",4557.653447,708.1851191,12,"Vest-Finnmark",969625
2015,"FINNMARK","2014","Loppa",2808.583223,2119.706465,12,"Vest-Finnmark",272673
2015,"FINNMARK","2015","Hasvik",2767.912332,2212.346937,12,"Vest-Finnmark",164846
2015,"FINNMARK","2017","Kvalsund",2143.724658,299.4380092,12,"Vest-Finnmark",127881
2015,"FINNMARK","2018","Måsøy",3882.603372,2746.77331,12,"Vest-Finnmark",860864
2015,"FINNMARK","2019","Nordkapp",4098.466639,3172.775971,12,"Vest-Finnmark",274968
2015,"FINNMARK","2022","Lebesby",5729.229931,2269.813387,12,"Vest-Finnmark",209672
2015,"FINNMARK","2027","c(\Nesseby\, \Unjárga\)",1637.385897,200.4975472,13,"Øst-Finnmark",167053
2015,"FINNMARK","2030","Sør-Varanger",5106.983189,1135.686092,13,"Øst-Finnmark",20615
2015,"UOPPGITT","0215","Frogn",115.37293,29.67292071,1,"Svenskegrensen - Jæren",14256
2015,"ROGALAND OG AGDER","0926","Lillesand",850.7528011,660.3214617,1,"Svenskegrensen - Jæren",76985
2016,"ROGALAND OG AGDER","1003","Farsund",1252.735155,990.1709147,1,"Svenskegrensen - Jæren",14572
2016,"ROGALAND OG AGDER","1004","Flekkefjord",859.7897118,315.7247669,1,"Svenskegrensen - Jæren",1119335
2016,"ROGALAND OG AGDER","1032","Lyngdal",626.6176617,235.270811,1,"Svenskegrensen - Jæren",815832
2016,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",54067
2016,"ROGALAND OG AGDER","1106","Haugesund",365.6018361,292.9220733,3,"Karmøy - Sotra",153446
2016,"ROGALAND OG AGDER","1122","Gjesdal",626.4959988,8.515393126,2,"Ryfylke",3154
2016,"ROGALAND OG AGDER","1129","Forsand",846.3640797,66.30523597,2,"Ryfylke",1860
2016,"ROGALAND OG AGDER","1130","Strand",332.6055776,114.4613977,2,"Ryfylke",199099
2016,"ROGALAND OG AGDER","1133","Hjelmeland",1195.202576,106.3627705,2,"Ryfylke",118850
2016,"ROGALAND OG AGDER","1134","Suldal",1909.018247,172.3661785,2,"Ryfylke",196832
2016,"ROGALAND OG AGDER","1141","Finnøy",388.3073287,283.9151293,2,"Ryfylke",1182391
2016,"ROGALAND OG AGDER","1142","Rennesøy",215.3021677,149.7881054,2,"Ryfylke",133250
2016,"ROGALAND OG AGDER","1144","Kvitsøy",362.4412368,356.1550285,2,"Ryfylke",41808
2016,"ROGALAND OG AGDER","1145","Bokn",188.6204715,141.4520961,2,"Ryfylke",282897
2016,"ROGALAND OG AGDER","1146","Tysvær",635.7009671,210.2175249,2,"Ryfylke",412398
2016,"ROGALAND OG AGDER","1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra",123774
2016,"ROGALAND OG AGDER","1160","Vindafjord",765.0393543,144.4528759,3,"Karmøy - Sotra",176569
2016,"HORDALAND","1211","Etne",813.6223475,78.34093032,3,"Karmøy - Sotra",123626
2016,"HORDALAND","1216","Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra",509814
2016,"HORDALAND","1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra",597102
2016,"HORDALAND","1221","Stord",225.8352936,82.10288014,3,"Karmøy - Sotra",715467
2016,"HORDALAND","1222","Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra",641318
2016,"HORDALAND","1223","Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra",915001
2016,"HORDALAND","1224","Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra",1134321
2016,"HORDALAND","1227","Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra",254258
2016,"HORDALAND","1238","Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra",399748
2016,"HORDALAND","1241","Fusa",507.0776654,129.2463033,3,"Karmøy - Sotra",381232
2016,"HORDALAND","1242","Samnanger",290.0844722,21.0179771,3,"Karmøy - Sotra",59315
2016,"HORDALAND","1243","Os",245.5334546,105.9583688,3,"Karmøy - Sotra",206670
2016,"HORDALAND","1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra",1394503
2016,"HORDALAND","1245","Sund",564.9350737,465.3951173,3,"Karmøy - Sotra",234902
2016,"HORDALAND","1246","Fjell",768.9276823,620.7603078,3,"Karmøy - Sotra",363886
2016,"HORDALAND","1247","Askøy",219.6391485,118.5156823,4,"Sotra - Stadt",284603
2016,"HORDALAND","1251","Vaksdal",756.7912355,41.41567702,4,"Sotra - Stadt",72802
2016,"HORDALAND","1253","Osterøy",311.6455974,56.5278112,4,"Sotra - Stadt",384249
2016,"HORDALAND","1256","Meland",130.5215556,37.93871393,4,"Sotra - Stadt",56203
2016,"HORDALAND","1259","Øygarden",985.9432893,919.148288,4,"Sotra - Stadt",550862
2016,"HORDALAND","1260","Radøy",209.7977221,98.34900146,4,"Sotra - Stadt",163741
2016,"HORDALAND","1263","Lindås",637.0389369,162.042687,4,"Sotra - Stadt",403854
2016,"HORDALAND","1264","Austrheim",161.9491533,104.393437,4,"Sotra - Stadt",45646
2016,"HORDALAND","1265","Fedje",465.8888989,456.6162525,4,"Sotra - Stadt",119449
2016,"HORDALAND","1266","Masfjorden",641.7115291,85.64212657,4,"Sotra - Stadt",291620
2016,"SOGN OG FJORDANE","1401","Flora",2140.216593,1447.185281,4,"Sotra - Stadt",576585
2016,"SOGN OG FJORDANE","1411","Gulen",983.1503441,385.9427734,4,"Sotra - Stadt",535627
2016,"SOGN OG FJORDANE","1412","Solund",1747.705205,1519.458615,4,"Sotra - Stadt",626074
2016,"SOGN OG FJORDANE","1413","Hyllestad",384.2061598,125.3011533,4,"Sotra - Stadt",438058
2016,"SOGN OG FJORDANE","1416","Høyanger",1117.215544,209.0251517,4,"Sotra - Stadt",268935
2016,"SOGN OG FJORDANE","1428","Askvoll",1588.603941,1262.43025,4,"Sotra - Stadt",328662
2016,"SOGN OG FJORDANE","1429","Fjaler",488.1563815,71.53865419,4,"Sotra - Stadt",45031
2016,"SOGN OG FJORDANE","1438","Bremanger",1931.69721,1098.600948,4,"Sotra - Stadt",356750
2016,"SOGN OG FJORDANE","1439","Vågsøy",820.8877962,644.1892052,4,"Sotra - Stadt",442856
2016,"SOGN OG FJORDANE","1441","Selje",1041.307731,815.1905357,4,"Sotra - Stadt",140753
2016,"SOGN OG FJORDANE","1445","Gloppen",1095.283335,64.71387848,4,"Sotra - Stadt",85025
2016,"MØRE OG ROMSDAL","1502","Molde",585.0810002,222.447664,5,"Stad - Hustadvika",84470
2016,"MØRE OG ROMSDAL","1505","Kristiansund",669.4597917,582.0243919,6,"Nordmøre - Sør-Trøndelag",81218
2016,"MØRE OG ROMSDAL","1511","Vanylven",483.5926223,98.374729,5,"Stad - Hustadvika",667941
2016,"MØRE OG ROMSDAL","1515","Herøy",1193.288082,1073.763572,5,"Stad - Hustadvika",165378
2016,"MØRE OG ROMSDAL","1519","Volda",656.4932671,109.2593826,5,"Stad - Hustadvika",234510
2016,"MØRE OG ROMSDAL","1520","Ørsta",943.5737474,139.138279,5,"Stad - Hustadvika",201932
2016,"MØRE OG ROMSDAL","1524","Norddal",986.6701771,43.15651477,5,"Stad - Hustadvika",79970
2016,"MØRE OG ROMSDAL","1525","Stranda",944.3724368,78.50341444,5,"Stad - Hustadvika",165462
2016,"MØRE OG ROMSDAL","1529","Skodje",156.8868977,36.85781839,5,"Stad - Hustadvika",17671
2016,"MØRE OG ROMSDAL","1532","Giske",907.7717564,867.2287433,5,"Stad - Hustadvika",271899
2016,"MØRE OG ROMSDAL","1534","Haram",1063.325832,802.1936015,5,"Stad - Hustadvika",362881
2016,"MØRE OG ROMSDAL","1535","Vestnes",466.4075422,114.7066027,5,"Stad - Hustadvika",78804
2016,"MØRE OG ROMSDAL","1539","Rauma",1635.105545,132.9582198,5,"Stad - Hustadvika",188077
2016,"MØRE OG ROMSDAL","1543","Nesset",1131.560319,85.48888667,5,"Stad - Hustadvika",48248
2016,"MØRE OG ROMSDAL","1545","Midsund",275.1037587,180.4542533,5,"Stad - Hustadvika",209845
2016,"MØRE OG ROMSDAL","1546","Sandøy",1007.145171,985.7137032,5,"Stad - Hustadvika",28164
2016,"MØRE OG ROMSDAL","1547","Aukra",461.7591187,402.6819283,5,"Stad - Hustadvika",238218
2016,"MØRE OG ROMSDAL","1551","Eide",445.1395783,293.0397792,6,"Nordmøre - Sør-Trøndelag",50419
2016,"MØRE OG ROMSDAL","1554","Averøy",718.5878787,542.9088935,6,"Nordmøre - Sør-Trøndelag",77705
2016,"MØRE OG ROMSDAL","1557","Gjemnes",470.6056636,88.97445949,6,"Nordmøre - Sør-Trøndelag",64261
2016,"MØRE OG ROMSDAL","1560","Tingvoll",504.8050354,167.995332,6,"Nordmøre - Sør-Trøndelag",31818
2016,"MØRE OG ROMSDAL","1563","Sunndal",1799.591061,86.22058664,6,"Nordmøre - Sør-Trøndelag",2959
2016,"MØRE OG ROMSDAL","1566","Surnadal",1453.246482,87.19487793,6,"Nordmøre - Sør-Trøndelag",709
2016,"MØRE OG ROMSDAL","1571","Halsa",383.3083884,82.7797689,6,"Nordmøre - Sør-Trøndelag",320881
2016,"MØRE OG ROMSDAL","1573","Smøla",2154.4903,1882.580854,6,"Nordmøre - Sør-Trøndelag",1166719
2016,"MØRE OG ROMSDAL","1576","Aure",1048.31036,406.9303226,6,"Nordmøre - Sør-Trøndelag",302159
2016,"NORDLAND","1804","Bodø",4826.69546,3431.421782,9,"Vestfjorden - Vesterålen",90016
2016,"NORDLAND","1805","Narvik",2223.616141,200.5690576,9,"Vestfjorden - Vesterålen",4064
2016,"NORDLAND","1811","Bindal",1905.535218,641.2837483,7,"Nord-Trøndelag - Bindal",158937
2016,"NORDLAND","1812","Sømna",790.0974216,594.8391077,8,"Helgeland - Bodø",13230
2016,"NORDLAND","1813","Brønnøy",2099.156683,1052.809515,8,"Helgeland - Bodø",123567
2016,"NORDLAND","1815","Vega",2921.376588,2756.590844,8,"Helgeland - Bodø",53684
2016,"NORDLAND","1816","Vevelstad",661.1474773,122.0988447,8,"Helgeland - Bodø",23736
2016,"NORDLAND","1818","Herøy",2262.099657,2197.637411,8,"Helgeland - Bodø",332371
2016,"NORDLAND","1820","Alstahaug",585.2205361,397.1046147,8,"Helgeland - Bodø",140161
2016,"NORDLAND","1822","Leirfjord",596.1696545,130.9239221,8,"Helgeland - Bodø",42120
2016,"NORDLAND","1824","Vefsn",2030.300385,100.8914234,8,"Helgeland - Bodø",14775
2016,"NORDLAND","1827","Dønna",759.3091081,567.3688444,8,"Helgeland - Bodø",168635
2016,"NORDLAND","1828","Nesna",402.8211117,219.6396197,8,"Helgeland - Bodø",102650
2016,"NORDLAND","1833","Rana",4588.20917,128.0210568,8,"Helgeland - Bodø",21037
2016,"NORDLAND","1834","Lurøy",1337.693384,1072.508261,8,"Helgeland - Bodø",418383
2016,"NORDLAND","1835","Træna",1793.812792,1777.298315,8,"Helgeland - Bodø",35744
2016,"NORDLAND","1836","Rødøy",3103.057128,2391.768309,8,"Helgeland - Bodø",793871
2016,"NORDLAND","1837","Meløy",2746.283777,1872.455608,8,"Helgeland - Bodø",190807
2016,"NORDLAND","1838","Gildeskål",1502.253204,837.5510572,8,"Helgeland - Bodø",627639
2016,"NORDLAND","1840","Saltdal",2245.948768,29.75933009,8,"Helgeland - Bodø",110430
2016,"NORDLAND","1841","c(\Fauske\, \Fuossko\)",1293.965081,96.99544864,8,"Helgeland - Bodø",5194
2016,"NORDLAND","1845","Sørfold",1829.725893,192.322705,9,"Vestfjorden - Vesterålen",610344
2016,"NORDLAND","1848","Steigen",3484.477675,2475.231549,9,"Vestfjorden - Vesterålen",432605
2016,"NORDLAND","1849","c(\Hamarøy\, \Hábmer\)",1562.514447,528.9225273,9,"Vestfjorden - Vesterålen",31393
2016,"NORDLAND","1850","c(\Tysfjord\, \Divtasvuodna\)",1929.019449,465.2612621,9,"Vestfjorden - Vesterålen",289731
2016,"NORDLAND","1851","Lødingen",1043.931094,516.5166935,9,"Vestfjorden - Vesterålen",194352
2016,"NORDLAND","1852","Tjeldsund",444.826713,125.4910974,9,"Vestfjorden - Vesterålen",23286
2016,"NORDLAND","1853","Evenes",390.3352448,137.5565233,9,"Vestfjorden - Vesterålen",37
2016,"NORDLAND","1854","Ballangen",1193.130637,260.9146791,9,"Vestfjorden - Vesterålen",79174
2016,"NORDLAND","1859","Flakstad",1172.39812,994.0116752,9,"Vestfjorden - Vesterålen",89852
2016,"NORDLAND","1860","Vestvågøy",2109.641746,1685.080756,9,"Vestfjorden - Vesterålen",25696
2016,"NORDLAND","1865","Vågan",2087.475486,1608.301755,9,"Vestfjorden - Vesterålen",49454
2016,"NORDLAND","1866","Hadsel",1184.413105,617.8636024,9,"Vestfjorden - Vesterålen",245122
2016,"NORDLAND","1867","Bø",1825.744963,1579.045433,9,"Vestfjorden - Vesterålen",70351
2016,"NORDLAND","1868","Øksnes",1815.174302,1495.658041,9,"Vestfjorden - Vesterålen",91706
2016,"NORDLAND","1870","c(\Sortland\, \Suortá\)",1093.027537,371.1023103,9,"Vestfjorden - Vesterålen",125860
2016,"TROMS","1902","Tromsø",5287.925885,2766.720443,11,"Kvaløya - Loppa",368694
2016,"TROMS","1903","c(\Harstad\, \Hárstták\)",1520.380415,1075.169085,10,"Andfjorden - Senja",313465
2016,"TROMS","1911","Kvæfjord",701.6211827,189.007727,10,"Andfjorden - Senja",77415
2016,"TROMS","1913","Skånland",580.7459162,85.75053965,10,"Andfjorden - Senja",256923
2016,"TROMS","1917","Ibestad",592.7193788,351.6502163,10,"Andfjorden - Senja",269233
2016,"TROMS","1919","Gratangen",374.6671877,61.92678047,10,"Andfjorden - Senja",17968
2016,"TROMS","1920","c(\Lavangen\, \Loabák\)",324.5644227,22.93030318,10,"Andfjorden - Senja",50903
2016,"TROMS","1923","Salangen",521.5611242,63.59936295,10,"Andfjorden - Senja",1746
2016,"TROMS","1926","Dyrøy",469.7496123,181.2083648,10,"Andfjorden - Senja",270927
2016,"TROMS","1927","Tranøy",938.4325924,414.5371515,10,"Andfjorden - Senja",208104
2016,"TROMS","1928","Torsken",1076.107235,832.6831727,10,"Andfjorden - Senja",568444
2016,"TROMS","1929","Berg",1130.553961,836.6595009,10,"Andfjorden - Senja",207916
2016,"TROMS","1931","Lenvik",1586.547758,693.9699618,10,"Andfjorden - Senja",356996
2016,"TROMS","1936","Karlsøy",5888.348538,4796.755739,11,"Kvaløya - Loppa",520571
2016,"TROMS","1938","Lyngen",1299.636265,487.0741668,11,"Kvaløya - Loppa",6427
2016,"TROMS","1940","c(\Gáivuotna\, \Kaivuono\, \Kåfjord\)",1115.396129,124.1574503,11,"Kvaløya - Loppa",56692
2016,"TROMS","1941","Skjervøy",1561.699755,1087.998326,11,"Kvaløya - Loppa",466509
2016,"TROMS","1942","c(\Nordreisa\, \Raisi\, \Ráisa\)",3681.281994,243.7160763,11,"Kvaløya - Loppa",19783
2016,"TROMS","1943","Kvænangen",2682.367817,573.0012304,11,"Kvaløya - Loppa",229117
2016,"FINNMARK","2004","Hammerfest",3227.790475,2379.511674,12,"Vest-Finnmark",580268
2016,"FINNMARK","2012","Alta",4557.653447,708.1851191,12,"Vest-Finnmark",1003908
2016,"FINNMARK","2014","Loppa",2808.583223,2119.706465,12,"Vest-Finnmark",96338
2016,"FINNMARK","2015","Hasvik",2767.912332,2212.346937,12,"Vest-Finnmark",33553
2016,"FINNMARK","2017","Kvalsund",2143.724658,299.4380092,12,"Vest-Finnmark",854586
2016,"FINNMARK","2018","Måsøy",3882.603372,2746.77331,12,"Vest-Finnmark",442060
